#,Nome,Fuori lista,Sq.,Under,R.,R.MANTRA,PGv,MV,FM,FVM/1000,QUOT.,FantaSquadra,Costo
4892,Saelemaekers,,Milan,27,C,E/W,1,6,6,18,10,,
133,Skorupski,,Bologna,35,P,Por,1,6,5.5,18,10,,
6646,Adams C.,,Torino,30,A,A,1,7,7,17,9,,
2155,Cutrone,,Monza,28,A,Pc,1,6,6,17,9,,
827,Locatelli,,Juventus,28,C,M/C,1,6,6.5,17,8,,
7129,Rodriguez Je.,,Como,21,C,W/A,1,5.5,5,16,12,,
5888,Casadei,,Torino,23,C,C/T,1,5,5,16,10,,
6869,Ramon,,Como,21,D,Dc,1,6,6.5,16,10,,
5833,Gila,,Milan,26,D,Dc,1,6.5,7,16,12,,
5514,Vasquez,,Genoa,28,D,Ds/Dc,1,5.5,5.5,16,9,,
6482,Mandas,,Lazio,25,P,Por,1,6.5,7,16,9,,
7600,Osmajic,,Genoa,27,A,Pc,0,0,0,15,8,,
5672,Dia,,Lazio,30,A,A,1,6.5,6.5,15,10,,
5823,Baldanzi,,Genoa,23,C,T,1,6,6,15,11,,
4364,Gaetano,,Atalanta,26,C,M/C,1,6.5,6.5,15,7,,
779,Cristante,,Roma,31,C,M/C,1,6.5,6.5,15,8,,
184,Bernardeschi,,Bologna,32,C,W/T,1,6.5,6.5,15,9,,
5641,Chalobah T.,,Como,27,D,Dd/Dc,1,6.5,6.5,15,9,,
2514,Stones,,Inter,32,D,Dc,1,6,6,15,12,,
6462,Okoye,,Udinese,27,P,Por,1,6.5,6.5,15,9,,
2134,Falcone,,Lecce,31,P,Por,1,7,7.5,15,8,,
6904,Yeboah J.,,Venezia,26,A,A,1,6,6,14,8,,
6530,Ghedjemis,,Frosinone,24,A,W/A,0,0,0,14,9,,
7551,Schmid,,Frosinone,26,C,W/T,1,5,5.5,14,8,,
5500,Cancellieri,,Lazio,24,C,W/A,1,5.5,5.5,14,9,,
4479,Elmas,,Atalanta,27,C,W/T,0,0,0,14,7,,
5526,Scalvini,,Atalanta,23,D,Dc,1,6,5.5,14,10,,
5365,Dragusin,,Fiorentina,24,D,Dc,1,4,4,14,8,,
4360,Caprile,,Cagliari,25,P,Por,1,6,6,14,9,,
7313,Ratkov,,Lazio,23,A,Pc,0,0,0,13,10,,
2832,Boga,,Juventus,29,A,W/A,1,6,5.5,13,6,,
7472,Calò,,Frosinone,29,C,M/C,1,5.5,6,13,7,,
6618,Cissè A.,,Milan,20,C,W/T,1,7,7,13,3,,
6294,Ndour,,Fiorentina,22,C,C,1,5.5,5,13,8,,
5878,Colpani,,Monza,27,C,T,1,5,5,13,8,,
530,Pellegrini Lo.,,Roma,30,C,C/T,0,0,0,13,10,,
6727,Couto,,Como,24,D,Dd/E,1,5,5,13,8,,
5877,Carlos Augusto,,Inter,27,D,B/Ds/E,0,0,0,13,7,,
5520,Cambiaso,,Juventus,26,D,Dd/Ds/E,1,6,6,13,9,,
5427,Gutierrez,*,Napoli,25,D,Ds/E,0,0,0,13,8,,
4807,Hermoso,,Roma,31,D,Dc,1,6.5,6.5,13,10,,
1852,Spinazzola,,Napoli,33,D,Ds/E,1,5.5,5.5,13,8,,
5029,Geubbels,,Lecce,25,A,Pc,1,5.5,5,12,9,,
6010,Fazzini,,Cagliari,23,C,C/T,1,5.5,6,12,7,,
5858,Ferguson,,Bologna,27,C,M/C,1,6,6.5,12,7,,
5735,Volpato,,Sassuolo,23,C,W/T,1,6.5,6,12,7,,
2077,Pasalic,,Atalanta,31,C,C/T,1,5.5,5.5,12,9,,
1933,Mandragora,,Fiorentina,29,C,C,1,5,5.5,12,9,,
6531,Jimenez A.,,Fiorentina,21,D,Dd/Ds/E,1,5.5,5.5,12,8,,
5862,Valeri,,Parma,28,D,Ds/E,1,6,6.5,12,8,,
4734,Miranda J.,,Bologna,26,D,Ds/E,1,6,6,12,8,,
4401,Gabbia,,Milan,27,D,Dc,1,6,6,12,7,,
5436,Raimondo,,Frosinone,22,A,Pc,1,5.5,5,11,7,,
4896,Maldini,,Cagliari,25,A,T/A,1,6,6.5,11,5,,
7070,Sucic P.,,Inter,23,C,C,1,6.5,6,11,8,,
6678,Liberali,,Como,19,C,T,1,6,6,11,6,,
6398,Isaksen,,Lazio,25,C,W/A,1,6,6,11,9,,
4856,Chukwueze,,Milan,27,C,W,1,7,7,11,6,,
4465,Fagioli,,Fiorentina,25,C,M/C,1,5.5,5,11,8,,
4436,Cambiaghi,,Bologna,26,C,W/A,1,5.5,5,11,8,,
4287,Lobotka,,Napoli,32,C,M/C,1,6.5,6,11,7,,
6867,Valle,,Como,22,D,Ds/E,1,5.5,5.5,11,6,,
6814,Norton-Cuffy,,Genoa,22,D,Dd/E,1,6,5.5,11,8,,
6664,Delprato,,Parma,27,D,B/Dd/E,1,6,6,11,8,,
6496,Bartesaghi,,Milan,21,D,Ds/E,1,6,6,11,8,,
4664,Badiashile,,Napoli,25,D,Dc,0,0,0,11,7,,
460,Romagnoli,,Lazio,31,D,Dc,0,0,0,11,7,,
6519,Camarda,,Milan,18,A,Pc,0,0,0,10,5,,
4728,Nkunku,,Milan,29,A,A,0,0,0,10,13,,
7464,Oulai,,Fiorentina,20,C,M/C,1,6,6,10,6,,
7412,Milla,,Como,32,C,M/C,1,6.5,6.5,10,5,,
7311,Romano,,Cagliari,20,C,M/C,1,7,7.5,10,5,,
7060,Cacciamani,,Torino,19,C,E/W,1,5.5,5.5,10,5,,
6717,Konè I.,,Sassuolo,24,C,C,0,0,0,10,9,,
6680,Karlstrom,,Udinese,31,C,M/C,1,6.5,6,10,6,,
6549,Pierotti,,Lecce,25,C,W,1,6,6,10,6,,
5791,Frendrup,,Genoa,25,C,M/C,1,6,6,10,7,,
5761,Zhegrova,,Juventus,27,C,W,1,6,6,10,6,,
5674,Basic,,Venezia,30,C,M/C,1,5.5,5.5,10,6,,
5422,Zalewski,,Atalanta,24,C,W,1,6,5.5,10,6,,
7580,Sutalo J.,,Lazio,26,D,Dc,0,0,0,10,7,,
6989,Tiago Gabriel,,Lecce,22,D,Dc,1,7,7,10,7,,
6672,Idzes,,Sassuolo,26,D,Dc,0,0,0,10,7,,
6485,Kristensen T.,,Atalanta,24,D,Dd/Dc,0,0,0,10,7,,
5885,Dodò,,Fiorentina,28,D,Dd/E,1,5,5,10,10,,
4994,Vojvoda,,Udinese,31,D,Dd/E,1,6.5,6.5,10,8,,
4433,Zortea,,Bologna,27,D,Dd/E,1,6,5.5,10,6,,
4210,Mina,,Cagliari,32,D,Dc,0,0,0,10,8,,
2188,Marusic,,Lazio,34,D,Dd/Ds/E,1,6,5.5,10,6,,
554,Zappacosta,,Atalanta,34,D,Dd/E,1,6.5,6.5,10,8,,
6641,Suzuki,*,Parma,24,P,Por,0,0,0,10,7,,
7449,Rrahmani Al.,,Venezia,26,A,Pc,0,0,0,9,8,,
6831,Neres,,Napoli,29,A,W/A,0,0,0,9,6,,
6669,Bonny,,Inter,23,A,Pc,1,6,6,9,7,,
6556,Noslin,,Lazio,27,A,A,0,0,6,9,6,,
5882,Mota,,Monza,28,A,A,0,0,0,9,5,,
608,Zapata D.,,Torino,35,A,Pc,0,0,0,9,7,,
7535,Fitz-Jim,,Torino,23,C,M/C,1,6,6,9,4,,
6984,Ondrejka,*,Parma,24,C,W/A,0,0,0,9,5,,
6783,Unai Gomez,,Udinese,23,C,T,0,0,0,9,7,,
6271,El Aynaoui,,Roma,25,C,M/C,0,0,6,9,4,,
6190,Pisilli,,Roma,22,C,C,1,6.5,7,9,5,,
6020,Ellertsson,,Genoa,24,C,E/C,1,5.5,5.5,9,6,,
5504,Coulibaly L.,,Lecce,30,C,M/C,1,7,6.5,9,6,,
5036,Caqueret,,Como,26,C,C/T,0,0,0,9,6,,
4199,Loftus-Cheek,,Milan,30,C,C/T,1,6,6,9,4,,
2765,Odgaard,,Bologna,27,C,T,1,5.5,5,9,8,,
7529,Koulierakis,,Roma,23,D,Dc,1,6,6,9,8,,
7410,Viery,,Fiorentina,21,D,Ds/Dc,0,0,0,9,6,,
7294,Valdepenas,,Fiorentina,20,D,Ds/Dc,0,0,6,9,6,,
7219,Bernasconi,,Atalanta,23,D,Ds/E,1,5.5,5.5,9,6,,
6663,Circati,*,Parma,23,D,Dc,0,0,0,9,6,,
6042,Lucumì,,Juventus,28,D,Dc,0,0,0,9,8,,
4887,Bellanova,,Atalanta,26,D,Dd/E,0,0,0,9,6,,
7332,Bijlow,,Genoa,28,P,Por,1,6,6,9,8,,
7001,N'Dri,,Lecce,26,A,W/A,1,5.5,5.5,8,3,,
6204,Kvernadze,,Frosinone,23,A,W/A,1,6,5.5,8,4,,
6164,Vitinha O.,,Genoa,26,A,A,1,5.5,5,8,8,,
7198,Piotrowski,,Udinese,29,C,M/C,1,6,6,8,5,,
7146,Tourè I.,,Monza,28,C,E/M,0,0,0,8,6,,
6994,Perez K.,,Venezia,29,C,C/T,1,5.5,5.5,8,5,,
6898,Keita M.,,Parma,24,C,M/C,1,6,5.5,8,5,,
6677,Adzic,,Sassuolo,20,C,C/T,1,5.5,5.5,8,5,,
6593,Akinsanmiro,,Monza,22,C,C,0,0,0,8,6,,
5946,Sow,,Genoa,29,C,M/C,1,5.5,5.5,8,7,,
5295,Musah,,Milan,24,C,C/W,1,6,6,8,2,,
4911,Douglas Luiz,,Juventus,28,C,C,1,5.5,6,8,4,,
4459,Rovella,,Lazio,25,C,M/C,1,6.5,6.5,8,6,,
4349,Nicolussi Caviglia,,Parma,26,C,M/C,0,0,0,8,6,,
4260,Winks,,Cagliari,30,C,M/C,1,6,6.5,8,6,,
2741,Pessina,,Monza,29,C,M/C,0,0,0,8,7,,
2528,Matic,,Sassuolo,38,C,M/C,1,6.5,6,8,5,,
7485,Mangas,,Monza,28,D,Ds/E,1,5.5,5,8,6,,
7414,Kaiki,,Como,23,D,Ds/E,0,0,0,8,7,,
7329,Obrador,,Sassuolo,22,D,Ds/E,0,0,0,8,6,,
7212,Heggem,,Bologna,27,D,Ds/Dc,1,5.5,6,8,6,,
6320,Doekhi,,Lazio,28,D,Dc,1,6.5,6.5,8,7,,
5701,Obert,,Cagliari,24,D,B/Ds/E,1,6,6.5,8,7,,
4817,Pedraza,,Lazio,30,D,Ds/E,1,6,6,8,5,,
4657,Celik,,Juventus,29,D,B/Dd/E,1,6,6,8,8,,
2724,Buongiorno,,Napoli,27,D,Dc,0,0,0,8,7,,
787,Djimsiti,*,Atalanta,33,D,Dc,0,0,0,8,7,,
4236,Muric,,Sassuolo,28,P,Por,1,6,6,8,7,,
7374,Mendy P.,,Cagliari,19,A,Pc,1,5.5,6,7,4,,
2012,Milik,,Juventus,32,A,Pc,0,0,0,7,5,,
7322,Ngom,,Lecce,22,C,M/C,1,6,6,7,4,,
7203,Jashari,,Milan,24,C,C,1,6.5,6,7,4,,
7036,Bakola,,Sassuolo,19,C,C/T,1,6,6,7,5,,
6827,Njie,,Torino,21,C,W/A,1,6.5,6.5,7,4,,
6629,Dele-Bashiru,,Lazio,25,C,C/T,1,5.5,5.5,7,5,,
6506,Fini ,,Frosinone,20,C,W,1,6,5.5,7,3,,
6054,Moro N.,,Bologna,28,C,M/C,0,0,0,7,4,,
5685,Koopmeiners,,Juventus,28,C,C/T,0,0,6,7,5,,
5507,Busio,,Venezia,24,C,M/C,1,6,6.5,7,5,,
5298,Pobega,,Bologna,27,C,M/C,0,0,0,7,6,,
4870,Adopo,,Cagliari,26,C,M/C,1,6.5,6.5,7,6,,
7274,Zè Pedro,,Cagliari,29,D,Dd/Dc,1,5.5,5.5,7,5,,
7268,Rodriguez Ju.,,Cagliari,21,D,Ds/Dc,1,6.5,6.5,7,3,,
7253,Bella-Kotchap,,Venezia,25,D,Dc,1,5,5.5,7,6,,
7235,Troilo,,Parma,23,D,Dc,1,6,6,7,3,,
7012,Provstgaard,,Lazio,23,D,Dc,1,6,6.5,7,3,,
6986,Rensch,,Roma,23,D,B/Dd/E,0,0,0,7,5,,
6916,Ahanor,,Atalanta,18,D,B/Ds/E,0,0,0,7,6,,
6893,Kempf,,Como,31,D,Dc,0,0,0,7,5,,
6660,Marcandalli,,Genoa,24,D,Dc,1,6,5.5,7,6,,
6642,Coco,,Torino,27,D,Dc,1,5.5,5.5,7,7,,
6495,Comuzzo,,Torino,21,D,Dc,1,6,6,7,6,,
5840,Olivera,,Napoli,29,D,B/Ds/E,0,0,0,7,5,,
5678,Holm,,Bologna,26,D,Dd/E,1,6,6,7,5,,
5273,Estupinan,,Milan,28,D,Ds/E,1,6,6.5,7,3,,
5010,Ismajli,,Torino,30,D,Dc,1,6,6,7,7,,
4952,Monterisi,,Frosinone,25,D,Dc,1,5,5,7,6,,
4502,Gallo,,Lecce,26,D,Ds/E,1,5.5,5.5,7,6,,
4177,Pavard,,Inter,30,D,Dd/Dc,0,0,0,7,6,,
7457,Mascardi,,Torino,20,P,Por,1,6,6,7,1,,
7342,Elphege,,Parma,25,A,Pc,1,5.5,0,6,3,,
7252,Stulic,,Lecce,25,A,Pc,1,5.5,5,6,7,,
7120,Lang,,Napoli,27,A,A,1,6,6,6,3,,
4387,Adorante,,Venezia,26,A,Pc,0,0,0,6,5,,
