#,Nome,Fuori lista,Sq.,Under,R.,R.MANTRA,PGv,MV,FM,FVM/1000,QUOT.,FantaSquadra,Costo
5831,Gatti,,Juventus,28,D,Dc,0,0,0,5,4,,
5820,Bertola,,Udinese,23,D,Dd/Ds/Dc,0,0,0,5,4,,
5695,Haps,,Venezia,33,D,Ds/E,1,5.5,6,5,5,,
5527,Zanoli,,Udinese,26,D,Dd/E,0,0,0,5,4,,
5449,Parisi,,Fiorentina,26,D,Ds/E,0,0,0,5,5,,
5307,Valenti,,Parma,27,D,Dc,0,0,0,5,4,,
4925,Carboni A.,,Monza,25,D,Ds/Dc,1,5.5,5,5,3,,
4378,Ranieri L.,,Fiorentina,27,D,Ds/Dc,1,5,4.5,5,3,,
4374,Walukiewicz,,Sassuolo,26,D,Dd/Dc,0,0,0,5,4,,
7411,Daffara,,Parma,22,P,Por,0,0,0,5,7,,
6662,Corvi,,Parma,25,P,Por,1,5.5,5.5,5,1,,
5876,Di Gregorio,,Juventus,29,P,Por,0,0,0,5,9,,
7523,Varela G.,,Monza,21,A,Pc,1,7,6.5,4,3,,
7272,Gueye,,Udinese,20,A,Pc,1,5.5,5.5,4,4,,
313,Morata,,Como,34,A,Pc,0,0,0,4,4,,
7477,Colombo L.,,Monza,21,C,M/C,0,0,0,4,3,,
6917,Masini,,Frosinone,25,C,M/C,1,6,6,4,2,,
6640,Felici,,Cagliari,25,C,W,1,6,5.5,4,5,,
6503,Stankovic A.,,Inter,21,C,M/C,0,0,0,4,3,,
6424,Prati,,Cagliari,23,C,M/C,0,0,0,4,4,,
6241,Gelli F.,,Frosinone,30,C,C/T,0,0,0,4,3,,
6206,Fabbian,,Fiorentina,23,C,C/T,0,0,0,4,4,,
6024,Sulemana I.,,Atalanta,23,C,M/C,0,0,0,4,3,,
5813,Miretti,,Juventus,23,C,C/T,0,0,0,4,3,,
5457,Maleh,,Lecce,28,C,M/C,1,6.5,6,4,2,,
5007,Ilic,,Torino,25,C,C,0,0,0,4,1,,
4970,Messias,,Genoa,35,C,W/T,1,6,6,4,3,,
1871,Deiola,,Cagliari,31,C,M/C,1,6,6.5,4,3,,
22,De Roon,,Atalanta,35,C,M/C,0,0,0,4,4,,
7532,Kofler,,Cagliari,21,D,Dc,0,0,0,4,5,,
7478,Franjic,,Venezia,26,D,B/Ds/E,1,5.5,5,4,2,,
